state,state population,ethnicity,gender,age group,group population
VT,625741,Asian,Female,5-9,301
VA,8001024,Asian,Female,5-9,15502
WA,6724540,Asian,Female,5-9,14730
WV,1852994,Asian,Female,5-9,390
WI,5686986,Asian,Female,5-9,5999
WY,563626,Asian,Female,5-9,144
PR,3725789,Asian,Female,5-9,271
AL,4779736,Asian,Female,10-14,1730
AK,710231,Asian,Female,10-14,1443
AZ,6392017,Asian,Female,10-14,5510
AR,2915918,Asian,Female,10-14,1168
CA,37253956,Asian,Female,10-14,135119
CO,5029196,Asian,Female,10-14,4986
CT,3574097,Asian,Female,10-14,4564
DE,897934,Asian,Female,10-14,823
DC,601723,Asian,Female,10-14,202
FL,18801310,Asian,Female,10-14,13676
GA,9687653,Asian,Female,10-14,10362
HI,1360301,Asian,Female,10-14,11691
ID,1567582,Asian,Female,10-14,649
IL,12830632,Asian,Female,10-14,17346
IN,6483802,Asian,Female,10-14,3425
IA,3046355,Asian,Female,10-14,1779
KS,2853118,Asian,Female,10-14,2276
KY,4339367,Asian,Female,10-14,1694
LA,4533372,Asian,Female,10-14,2082
ME,1328361,Asian,Female,10-14,638
MD,5773552,Asian,Female,10-14,9676
MA,6547629,Asian,Female,10-14,10389
MI,9883640,Asian,Female,10-14,8309
MN,5303925,Asian,Female,10-14,8886
MS,2967297,Asian,Female,10-14,806
MO,5988927,Asian,Female,10-14,3134
MT,989415,Asian,Female,10-14,209
NE,1826341,Asian,Female,10-14,1089
NV,2700551,Asian,Female,10-14,5605
NH,1316470,Asian,Female,10-14,953
NJ,8791894,Asian,Female,10-14,23178
NM,2059179,Asian,Female,10-14,936
NY,19378102,Asian,Female,10-14,39282
NC,9535483,Asian,Female,10-14,7349
ND,672591,Asian,Female,10-14,169
OH,11536504,Asian,Female,10-14,6111
OK,3751351,Asian,Female,10-14,2080
OR,3831074,Asian,Female,10-14,4537
PA,12702379,Asian,Female,10-14,11202
RI,1052567,Asian,Female,10-14,948
SC,4625364,Asian,Female,10-14,1810
SD,814180,Asian,Female,10-14,286
TN,6346105,Asian,Female,10-14,3080
TX,25145561,Asian,Female,10-14,31244
UT,2763885,Asian,Female,10-14,1752
VT,625741,Asian,Female,10-14,360
VA,8001024,Asian,Female,10-14,13242
WA,6724540,Asian,Female,10-14,13919
WV,1852994,Asian,Female,10-14,360
WI,5686986,Asian,Female,10-14,5487
WY,563626,Asian,Female,10-14,128
PR,3725789,Asian,Female,10-14,259
AL,4779736,Asian,Female,15-17,948
AK,710231,Asian,Female,15-17,934
AZ,6392017,Asian,Female,15-17,3096
AR,2915918,Asian,Female,15-17,703
CA,37253956,Asian,Female,15-17,88172
CO,5029196,Asian,Female,15-17,2567
CT,3574097,Asian,Female,15-17,2363
DE,897934,Asian,Female,15-17,463
DC,601723,Asian,Female,15-17,112
FL,18801310,Asian,Female,15-17,7980
GA,9687653,Asian,Female,15-17,5725
HI,1360301,Asian,Female,15-17,7861
ID,1567582,Asian,Female,15-17,381
IL,12830632,Asian,Female,15-17,9648
IN,6483802,Asian,Female,15-17,1726
IA,3046355,Asian,Female,15-17,1033
KS,2853118,Asian,Female,15-17,1314
KY,4339367,Asian,Female,15-17,836
LA,4533372,Asian,Female,15-17,1274
ME,1328361,Asian,Female,15-17,400
MD,5773552,Asian,Female,15-17,5569
MA,6547629,Asian,Female,15-17,6064
MI,9883640,Asian,Female,15-17,4501
MN,5303925,Asian,Female,15-17,5538
MS,2967297,Asian,Female,15-17,501
MO,5988927,Asian,Female,15-17,1684
MT,989415,Asian,Female,15-17,157
NE,1826341,Asian,Female,15-17,643
NV,2700551,Asian,Female,15-17,3336
NH,1316470,Asian,Female,15-17,476
NJ,8791894,Asian,Female,15-17,13098
NM,2059179,Asian,Female,15-17,455
NY,19378102,Asian,Female,15-17,24659
NC,9535483,Asian,Female,15-17,4165
ND,672591,Asian,Female,15-17,98
OH,11536504,Asian,Female,15-17,3282
OK,3751351,Asian,Female,15-17,1277
OR,3831074,Asian,Female,15-17,2747
PA,12702379,Asian,Female,15-17,6330
RI,1052567,Asian,Female,15-17,627
SC,4625364,Asian,Female,15-17,1037
SD,814180,Asian,Female,15-17,175
TN,6346105,Asian,Female,15-17,1688
TX,25145561,Asian,Female,15-17,17716
UT,2763885,Asian,Female,15-17,1096
VT,625741,Asian,Female,15-17,229
VA,8001024,Asian,Female,15-17,7544
WA,6724540,Asian,Female,15-17,8747
WV,1852994,Asian,Female,15-17,186
WI,5686986,Asian,Female,15-17,3553
WY,563626,Asian,Female,15-17,68
PR,3725789,Asian,Female,15-17,141
AL,4779736,Asian,Female,18-19,731
AK,710231,Asian,Female,18-19,542
AZ,6392017,Asian,Female,18-19,2249
AR,2915918,Asian,Female,18-19,564
CA,37253956,Asian,Female,18-19,65894
CO,5029196,Asian,Female,18-19,1760
CT,3574097,Asian,Female,18-19,1657
DE,897934,Asian,Female,18-19,409
DC,601723,Asian,Female,18-19,549
FL,18801310,Asian,Female,18-19,5967
GA,9687653,Asian,Female,18-19,4327
HI,1360301,Asian,Female,18-19,4863
ID,1567582,Asian,Female,18-19,266
IL,12830632,Asian,Female,18-19,7042
IN,6483802,Asian,Female,18-19,1686
IA,3046355,Asian,Female,18-19,1088
KS,2853118,Asian,Female,18-19,1023
KY,4339367,Asian,Female,18-19,614
LA,4533372,Asian,Female,18-19,899
ME,1328361,Asian,Female,18-19,336
MD,5773552,Asian,Female,18-19,3898
MA,6547629,Asian,Female,18-19,7014
MI,9883640,Asian,Female,18-19,3749
MN,5303925,Asian,Female,18-19,4095
MS,2967297,Asian,Female,18-19,342
MO,5988927,Asian,Female,18-19,1535
MT,989415,Asian,Female,18-19,102
NE,1826341,Asian,Female,18-19,513
NV,2700551,Asian,Female,18-19,2353
NH,1316470,Asian,Female,18-19,368
NJ,8791894,Asian,Female,18-19,7309
NM,2059179,Asian,Female,18-19,381
NY,19378102,Asian,Female,18-19,20169
NC,9535483,Asian,Female,18-19,2836
ND,672591,Asian,Female,18-19,135
OH,11536504,Asian,Female,18-19,2623
OK,3751351,Asian,Female,18-19,1036
OR,3831074,Asian,Female,18-19,2184
PA,12702379,Asian,Female,18-19,6209
RI,1052567,Asian,Female,18-19,950
SC,4625364,Asian,Female,18-19,762
SD,814180,Asian,Female,18-19,118
TN,6346105,Asian,Female,18-19,1182
TX,25145561,Asian,Female,18-19,11734
UT,2763885,Asian,Female,18-19,965
VT,625741,Asian,Female,18-19,241
VA,8001024,Asian,Female,18-19,5237
WA,6724540,Asian,Female,18-19,7292
WV,1852994,Asian,Female,18-19,158
WI,5686986,Asian,Female,18-19,2654
WY,563626,Asian,Female,18-19,65
PR,3725789,Asian,Female,18-19,117
AL,4779736,Asian,Female,20,367
AK,710231,Asian,Female,20,261
AZ,6392017,Asian,Female,20,1213
AR,2915918,Asian,Female,20,316
CA,37253956,Asian,Female,20,34202
CO,5029196,Asian,Female,20,915
CT,3574097,Asian,Female,20,827
DE,897934,Asian,Female,20,206
DC,601723,Asian,Female,20,338
FL,18801310,Asian,Female,20,3252
GA,9687653,Asian,Female,20,2248
HI,1360301,Asian,Female,20,2594
ID,1567582,Asian,Female,20,156
IL,12830632,Asian,Female,20,3888
IN,6483802,Asian,Female,20,1121
IA,3046355,Asian,Female,20,709
KS,2853118,Asian,Female,20,656
KY,4339367,Asian,Female,20,328
LA,4533372,Asian,Female,20,511
ME,1328361,Asian,Female,20,125
MD,5773552,Asian,Female,20,1928
MA,6547629,Asian,Female,20,3586
MI,9883640,Asian,Female,20,2082
MN,5303925,Asian,Female,20,2157
MS,2967297,Asian,Female,20,209
MO,5988927,Asian,Female,20,1006
MT,989415,Asian,Female,20,77
NE,1826341,Asian,Female,20,312
NV,2700551,Asian,Female,20,1244
NH,1316470,Asian,Female,20,183
NJ,8791894,Asian,Female,20,3564
NM,2059179,Asian,Female,20,175
NY,19378102,Asian,Female,20,11358
NC,9535483,Asian,Female,20,1660
ND,672591,Asian,Female,20,119
OH,11536504,Asian,Female,20,1549
OK,3751351,Asian,Female,20,605
OR,3831074,Asian,Female,20,1152
PA,12702379,Asian,Female,20,3395
RI,1052567,Asian,Female,20,523
SC,4625364,Asian,Female,20,412
SD,814180,Asian,Female,20,67
TN,6346105,Asian,Female,20,645
TX,25145561,Asian,Female,20,6196
UT,2763885,Asian,Female,20,587
VT,625741,Asian,Female,20,104
VA,8001024,Asian,Female,20,2711
WA,6724540,Asian,Female,20,3741
WV,1852994,Asian,Female,20,93
WI,5686986,Asian,Female,20,1522
WY,563626,Asian,Female,20,46
PR,3725789,Asian,Female,20,62
AL,4779736,Asian,Female,21,398
AK,710231,Asian,Female,21,246
AZ,6392017,Asian,Female,21,1211
AR,2915918,Asian,Female,21,331
CA,37253956,Asian,Female,21,36007
CO,5029196,Asian,Female,21,1002
CT,3574097,Asian,Female,21,893
DE,897934,Asian,Female,21,207
DC,601723,Asian,Female,21,334
FL,18801310,Asian,Female,21,3343
GA,9687653,Asian,Female,21,2199
HI,1360301,Asian,Female,21,2509
ID,1567582,Asian,Female,21,147
IL,12830632,Asian,Female,21,4022
IN,6483802,Asian,Female,21,1160
IA,3046355,Asian,Female,21,599
KS,2853118,Asian,Female,21,609
KY,4339367,Asian,Female,21,388
LA,4533372,Asian,Female,21,578
ME,1328361,Asian,Female,21,133
MD,5773552,Asian,Female,21,2015
MA,6547629,Asian,Female,21,3646
MI,9883640,Asian,Female,21,2130
MN,5303925,Asian,Female,21,2187
MS,2967297,Asian,Female,21,204
MO,5988927,Asian,Female,21,1008
MT,989415,Asian,Female,21,91
NE,1826341,Asian,Female,21,346
NV,2700551,Asian,Female,21,1271
NH,1316470,Asian,Female,21,264
NJ,8791894,Asian,Female,21,3699
NM,2059179,Asian,Female,21,209
NY,19378102,Asian,Female,21,11699
NC,9535483,Asian,Female,21,1653
ND,672591,Asian,Female,21,147
OH,11536504,Asian,Female,21,1583
OK,3751351,Asian,Female,21,554
OR,3831074,Asian,Female,21,1221
PA,12702379,Asian,Female,21,3270
RI,1052567,Asian,Female,21,508
SC,4625364,Asian,Female,21,430
SD,814180,Asian,Female,21,121
TN,6346105,Asian,Female,21,638
TX,25145561,Asian,Female,21,6490
UT,2763885,Asian,Female,21,598
VT,625741,Asian,Female,21,95
VA,8001024,Asian,Female,21,2858
WA,6724540,Asian,Female,21,3691
WV,1852994,Asian,Female,21,111
WI,5686986,Asian,Female,21,1465
WY,563626,Asian,Female,21,61
PR,3725789,Asian,Female,21,52
AL,4779736,Asian,Female,22-24,1330
AK,710231,Asian,Female,22-24,829
AZ,6392017,Asian,Female,22-24,3582
AR,2915918,Asian,Female,22-24,991
CA,37253956,Asian,Female,22-24,100648
CO,5029196,Asian,Female,22-24,3172
CT,3574097,Asian,Female,22-24,2957
DE,897934,Asian,Female,22-24,610
DC,601723,Asian,Female,22-24,1240
FL,18801310,Asian,Female,22-24,10044
GA,9687653,Asian,Female,22-24,6684
HI,1360301,Asian,Female,22-24,7960
ID,1567582,Asian,Female,22-24,494
IL,12830632,Asian,Female,22-24,13545
IN,6483802,Asian,Female,22-24,3059
IA,3046355,Asian,Female,22-24,1617
KS,2853118,Asian,Female,22-24,1905
KY,4339367,Asian,Female,22-24,1221
LA,4533372,Asian,Female,22-24,1921
ME,1328361,Asian,Female,22-24,292
MD,5773552,Asian,Female,22-24,6421
MA,6547629,Asian,Female,22-24,10107
MI,9883640,Asian,Female,22-24,6005
MN,5303925,Asian,Female,22-24,6344
MS,2967297,Asian,Female,22-24,664
MO,5988927,Asian,Female,22-24,2866
MT,989415,Asian,Female,22-24,214
NE,1826341,Asian,Female,22-24,1002
NV,2700551,Asian,Female,22-24,4065
NH,1316470,Asian,Female,22-24,657
NJ,8791894,Asian,Female,22-24,13181
NM,2059179,Asian,Female,22-24,609
NY,19378102,Asian,Female,22-24,36498
NC,9535483,Asian,Female,22-24,4837
ND,672591,Asian,Female,22-24,344
OH,11536504,Asian,Female,22-24,5007
OK,3751351,Asian,Female,22-24,1842
OR,3831074,Asian,Female,22-24,3215
PA,12702379,Asian,Female,22-24,9414
RI,1052567,Asian,Female,22-24,1127
SC,4625364,Asian,Female,22-24,1312
SD,814180,Asian,Female,22-24,233
TN,6346105,Asian,Female,22-24,2040
TX,25145561,Asian,Female,22-24,21141
UT,2763885,Asian,Female,22-24,1700
VT,625741,Asian,Female,22-24,254
VA,8001024,Asian,Female,22-24,9253
WA,6724540,Asian,Female,22-24,10539
WV,1852994,Asian,Female,22-24,419
WI,5686986,Asian,Female,22-24,4203
WY,563626,Asian,Female,22-24,186
PR,3725789,Asian,Female,22-24,183
AL,4779736,Asian,Female,25-29,2563
AK,710231,Asian,Female,25-29,1423
AZ,6392017,Asian,Female,25-29,8208
AR,2915918,Asian,Female,25-29,1941
CA,37253956,Asian,Female,25-29,193055
CO,5029196,Asian,Female,25-29,6465
CT,3574097,Asian,Female,25-29,6951
DE,897934,Asian,Female,25-29,1544
DC,601723,Asian,Female,25-29,2273
FL,18801310,Asian,Female,25-29,19344
GA,9687653,Asian,Female,25-29,14181
HI,1360301,Asian,Female,25-29,14444
ID,1567582,Asian,Female,25-29,905
IL,12830632,Asian,Female,25-29,28662
IN,6483802,Asian,Female,25-29,5165
IA,3046355,Asian,Female,25-29,2758
KS,2853118,Asian,Female,25-29,3393
KY,4339367,Asian,Female,25-29,2537
LA,4533372,Asian,Female,25-29,3448
ME,1328361,Asian,Female,25-29,610
MD,5773552,Asian,Female,25-29,13583
MA,6547629,Asian,Female,25-29,18988
MI,9883640,Asian,Female,25-29,10744
MN,5303925,Asian,Female,25-29,11778
MS,2967297,Asian,Female,25-29,1237
MO,5988927,Asian,Female,25-29,5149
MT,989415,Asian,Female,25-29,290
NE,1826341,Asian,Female,25-29,1800
NV,2700551,Asian,Female,25-29,7834
NH,1316470,Asian,Female,25-29,1347
NJ,8791894,Asian,Female,25-29,31849
NM,2059179,Asian,Female,25-29,1193
NY,19378102,Asian,Female,25-29,69764
NC,9535483,Asian,Female,25-29,10386
ND,672591,Asian,Female,25-29,423
OH,11536504,Asian,Female,25-29,9957
OK,3751351,Asian,Female,25-29,3144
OR,3831074,Asian,Female,25-29,6102
PA,12702379,Asian,Female,25-29,17571
RI,1052567,Asian,Female,25-29,1735
SC,4625364,Asian,Female,25-29,2794
SD,814180,Asian,Female,25-29,326
TN,6346105,Asian,Female,25-29,4465
TX,25145561,Asian,Female,25-29,43317
UT,2763885,Asian,Female,25-29,2835
VT,625741,Asian,Female,25-29,388
VA,8001024,Asian,Female,25-29,20201
WA,6724540,Asian,Female,25-29,21531
WV,1852994,Asian,Female,25-29,653
WI,5686986,Asian,Female,25-29,6949
WY,563626,Asian,Female,25-29,270
PR,3725789,Asian,Female,25-29,275
AL,4779736,Asian,Female,30-34,2599
AK,710231,Asian,Female,30-34,1409
AZ,6392017,Asian,Female,30-34,8743
AR,2915918,Asian,Female,30-34,1826
CA,37253956,Asian,Female,30-34,199252
CO,5029196,Asian,Female,30-34,6668
CT,3574097,Asian,Female,30-34,7205
DE,897934,Asian,Female,30-34,1430
DC,601723,Asian,Female,30-34,1885
FL,18801310,Asian,Female,30-34,20918
GA,9687653,Asian,Female,30-34,15280
HI,1360301,Asian,Female,30-34,15483
ID,1567582,Asian,Female,30-34,904
IL,12830632,Asian,Female,30-34,28744
IN,6483802,Asian,Female,30-34,5058
IA,3046355,Asian,Female,30-34,2482
KS,2853118,Asian,Female,30-34,3219
KY,4339367,Asian,Female,30-34,2552
LA,4533372,Asian,Female,30-34,3226
ME,1328361,Asian,Female,30-34,593
MD,5773552,Asian,Female,30-34,15094
MA,6547629,Asian,Female,30-34,17856
MI,9883640,Asian,Female,30-34,11563
MN,5303925,Asian,Female,30-34,10039
MS,2967297,Asian,Female,30-34,1185
MO,5988927,Asian,Female,30-34,4892
MT,989415,Asian,Female,30-34,312
NE,1826341,Asian,Female,30-34,1502
NV,2700551,Asian,Female,30-34,8361
NH,1316470,Asian,Female,30-34,1596
NJ,8791894,Asian,Female,30-34,36396
NM,2059179,Asian,Female,30-34,1366
NY,19378102,Asian,Female,30-34,67143
NC,9535483,Asian,Female,30-34,10588
ND,672591,Asian,Female,30-34,304
OH,11536504,Asian,Female,30-34,9717
OK,3751351,Asian,Female,30-34,2926
OR,3831074,Asian,Female,30-34,6572
PA,12702379,Asian,Female,30-34,16618
RI,1052567,Asian,Female,30-34,1359
SC,4625364,Asian,Female,30-34,2759
SD,814180,Asian,Female,30-34,387
TN,6346105,Asian,Female,30-34,4625
TX,25145561,Asian,Female,30-34,45567
UT,2763885,Asian,Female,30-34,2638
VT,625741,Asian,Female,30-34,362
VA,8001024,Asian,Female,30-34,22158
WA,6724540,Asian,Female,30-34,22122
WV,1852994,Asian,Female,30-34,548
WI,5686986,Asian,Female,30-34,5487
WY,563626,Asian,Female,30-34,178
PR,3725789,Asian,Female,30-34,304
AL,4779736,Asian,Female,35-39,2647
AK,710231,Asian,Female,35-39,1576
AZ,6392017,Asian,Female,35-39,9338
AR,2915918,Asian,Female,35-39,1690
CA,37253956,Asian,Female,35-39,217005
CO,5029196,Asian,Female,35-39,7368
CT,3574097,Asian,Female,35-39,7097
DE,897934,Asian,Female,35-39,1347
DC,601723,Asian,Female,35-39,1242
FL,18801310,Asian,Female,35-39,22597
GA,9687653,Asian,Female,35-39,16758
HI,1360301,Asian,Female,35-39,18177
ID,1567582,Asian,Female,35-39,952
IL,12830632,Asian,Female,35-39,28328
IN,6483802,Asian,Female,35-39,5012
IA,3046355,Asian,Female,35-39,2433
KS,2853118,Asian,Female,35-39,3347
KY,4339367,Asian,Female,35-39,2597
LA,4533372,Asian,Female,35-39,3126
ME,1328361,Asian,Female,35-39,673
MD,5773552,Asian,Female,35-39,15673
MA,6547629,Asian,Female,35-39,17068
MI,9883640,Asian,Female,35-39,11955
MN,5303925,Asian,Female,35-39,9335
MS,2967297,Asian,Female,35-39,1276
MO,5988927,Asian,Female,35-39,4854
MT,989415,Asian,Female,35-39,290
NE,1826341,Asian,Female,35-39,1504
NV,2700551,Asian,Female,35-39,9273
NH,1316470,Asian,Female,35-39,1576
NJ,8791894,Asian,Female,35-39,35758
NM,2059179,Asian,Female,35-39,1359
NY,19378102,Asian,Female,35-39,63073
NC,9535483,Asian,Female,35-39,10760
ND,672591,Asian,Female,35-39,330
OH,11536504,Asian,Female,35-39,9261
OK,3751351,Asian,Female,35-39,2968
OR,3831074,Asian,Female,35-39,7753
PA,12702379,Asian,Female,35-39,16004
RI,1052567,Asian,Female,35-39,1214
SC,4625364,Asian,Female,35-39,3038
SD,814180,Asian,Female,35-39,340
TN,6346105,Asian,Female,35-39,4731
TX,25145561,Asian,Female,35-39,49055
UT,2763885,Asian,Female,35-39,2643
VT,625741,Asian,Female,35-39,418
VA,8001024,Asian,Female,35-39,23104
WA,6724540,Asian,Female,35-39,23720
WV,1852994,Asian,Female,35-39,578
WI,5686986,Asian,Female,35-39,4904
WY,563626,Asian,Female,35-39,222
PR,3725789,Asian,Female,35-39,316
AL,4779736,Asian,Female,40-44,2323
AK,710231,Asian,Female,40-44,1624
AZ,6392017,Asian,Female,40-44,7942
AR,2915918,Asian,Female,40-44,1471
CA,37253956,Asian,Female,40-44,202708
CO,5029196,Asian,Female,40-44,6340
CT,3574097,Asian,Female,40-44,5941
DE,897934,Asian,Female,40-44,1153
DC,601723,Asian,Female,40-44,732
FL,18801310,Asian,Female,40-44,20887
GA,9687653,Asian,Female,40-44,13972
HI,1360301,Asian,Female,40-44,20050
ID,1567582,Asian,Female,40-44,821
IL,12830632,Asian,Female,40-44,23504
IN,6483802,Asian,Female,40-44,4065
IA,3046355,Asian,Female,40-44,1989
KS,2853118,Asian,Female,40-44,2745
KY,4339367,Asian,Female,40-44,2095
LA,4533372,Asian,Female,40-44,2659
ME,1328361,Asian,Female,40-44,632
MD,5773552,Asian,Female,40-44,14170
MA,6547629,Asian,Female,40-44,14002
MI,9883640,Asian,Female,40-44,9698
MN,5303925,Asian,Female,40-44,7198
MS,2967297,Asian,Female,40-44,1133
MO,5988927,Asian,Female,40-44,3997
MT,989415,Asian,Female,40-44,303
NE,1826341,Asian,Female,40-44,1268
NV,2700551,Asian,Female,40-44,9067
NH,1316470,Asian,Female,40-44,1218
NJ,8791894,Asian,Female,40-44,31474
NM,2059179,Asian,Female,40-44,1307
NY,19378102,Asian,Female,40-44,57302
NC,9535483,Asian,Female,40-44,9093
ND,672591,Asian,Female,40-44,260
OH,11536504,Asian,Female,40-44,7929
OK,3751351,Asian,Female,40-44,2699
OR,3831074,Asian,Female,40-44,6406
PA,12702379,Asian,Female,40-44,13663
RI,1052567,Asian,Female,40-44,1078
SC,4625364,Asian,Female,40-44,2678
SD,814180,Asian,Female,40-44,309
TN,6346105,Asian,Female,40-44,4070
TX,25145561,Asian,Female,40-44,41445
UT,2763885,Asian,Female,40-44,2307
VT,625741,Asian,Female,40-44,340
VA,8001024,Asian,Female,40-44,19895
WA,6724540,Asian,Female,40-44,21069
WV,1852994,Asian,Female,40-44,484
WI,5686986,Asian,Female,40-44,4136
WY,563626,Asian,Female,40-44,196
PR,3725789,Asian,Female,40-44,301
AL,4779736,Asian,Female,45-49,2068
AK,710231,Asian,Female,45-49,1640
AZ,6392017,Asian,Female,45-49,6990
AR,2915918,Asian,Female,45-49,1260
CA,37253956,Asian,Female,45-49,199691
CO,5029196,Asian,Female,45-49,5613
CT,3574097,Asian,Female,45-49,4941
DE,897934,Asian,Female,45-49,1084
DC,601723,Asian,Female,45-49,549
FL,18801310,Asian,Female,45-49,19041
GA,9687653,Asian,Female,45-49,12136
HI,1360301,Asian,Female,45-49,21805
ID,1567582,Asian,Female,45-49,794
IL,12830632,Asian,Female,45-49,20458
IN,6483802,Asian,Female,45-49,3314
IA,3046355,Asian,Female,45-49,1586
KS,2853118,Asian,Female,45-49,2185
KY,4339367,Asian,Female,45-49,1649
LA,4533372,Asian,Female,45-49,2310
ME,1328361,Asian,Female,45-49,506
MD,5773552,Asian,Female,45-49,13444
MA,6547629,Asian,Female,45-49,12172
MI,9883640,Asian,Female,45-49,8138
MN,5303925,Asian,Female,45-49,5733
MS,2967297,Asian,Female,45-49,993
MO,5988927,Asian,Female,45-49,3341
MT,989415,Asian,Female,45-49,289
NE,1826341,Asian,Female,45-49,971
NV,2700551,Asian,Female,45-49,8816
NH,1316470,Asian,Female,45-49,1022
NJ,8791894,Asian,Female,45-49,28566
NM,2059179,Asian,Female,45-49,1255
NY,19378102,Asian,Female,45-49,56430
NC,9535483,Asian,Female,45-49,7400
ND,672591,Asian,Female,45-49,203
OH,11536504,Asian,Female,45-49,6752
OK,3751351,Asian,Female,45-49,2399
OR,3831074,Asian,Female,45-49,5869
PA,12702379,Asian,Female,45-49,12317
RI,1052567,Asian,Female,45-49,974
SC,4625364,Asian,Female,45-49,2283
SD,814180,Asian,Female,45-49,275
TN,6346105,Asian,Female,45-49,3346
TX,25145561,Asian,Female,45-49,35706
UT,2763885,Asian,Female,45-49,2048
VT,625741,Asian,Female,45-49,293
VA,8001024,Asian,Female,45-49,17966
WA,6724540,Asian,Female,45-49,19913
WV,1852994,Asian,Female,45-49,465
WI,5686986,Asian,Female,45-49,3473
WY,563626,Asian,Female,45-49,177
PR,3725789,Asian,Female,45-49,281
AL,4779736,Asian,Female,50-54,1800
AK,710231,Asian,Female,50-54,1580
AZ,6392017,Asian,Female,50-54,6238
AR,2915918,Asian,Female,50-54,1152
CA,37253956,Asian,Female,50-54,192007
CO,5029196,Asian,Female,50-54,4942
CT,3574097,Asian,Female,50-54,4049
DE,897934,Asian,Female,50-54,863
DC,601723,Asian,Female,50-54,495
FL,18801310,Asian,Female,50-54,18049
GA,9687653,Asian,Female,50-54,10384
HI,1360301,Asian,Female,50-54,22990
ID,1567582,Asian,Female,50-54,701
IL,12830632,Asian,Female,50-54,18961
IN,6483802,Asian,Female,50-54,2831
IA,3046355,Asian,Female,50-54,1248
KS,2853118,Asian,Female,50-54,1966
KY,4339367,Asian,Female,50-54,1369
LA,4533372,Asian,Female,50-54,2344
ME,1328361,Asian,Female,50-54,499
MD,5773552,Asian,Female,50-54,11918
MA,6547629,Asian,Female,50-54,10098
MI,9883640,Asian,Female,50-54,6546
MN,5303925,Asian,Female,50-54,4782
MS,2967297,Asian,Female,50-54,955
MO,5988927,Asian,Female,50-54,2886
MT,989415,Asian,Female,50-54,284
NE,1826341,Asian,Female,50-54,865
NV,2700551,Asian,Female,50-54,8509
NH,1316470,Asian,Female,50-54,833
NJ,8791894,Asian,Female,50-54,25926
NM,2059179,Asian,Female,50-54,1118
NY,19378102,Asian,Female,50-54,52278
NC,9535483,Asian,Female,50-54,6278
ND,672591,Asian,Female,50-54,161
OH,11536504,Asian,Female,50-54,5738
OK,3751351,Asian,Female,50-54,2208
OR,3831074,Asian,Female,50-54,5098
PA,12702379,Asian,Female,50-54,10674
RI,1052567,Asian,Female,50-54,891
SC,4625364,Asian,Female,50-54,2040
SD,814180,Asian,Female,50-54,236
TN,6346105,Asian,Female,50-54,2943
TX,25145561,Asian,Female,50-54,32137
UT,2763885,Asian,Female,50-54,1755
VT,625741,Asian,Female,50-54,247
VA,8001024,Asian,Female,50-54,15479
WA,6724540,Asian,Female,50-54,18288
WV,1852994,Asian,Female,50-54,413
WI,5686986,Asian,Female,50-54,2766
WY,563626,Asian,Female,50-54,172
PR,3725789,Asian,Female,50-54,233
AL,4779736,Asian,Female,55-59,1659
AK,710231,Asian,Female,55-59,1391
AZ,6392017,Asian,Female,55-59,5441
AR,2915918,Asian,Female,55-59,1046
CA,37253956,Asian,Female,55-59,171519
CO,5029196,Asian,Female,55-59,4164
CT,3574097,Asian,Female,55-59,3293
DE,897934,Asian,Female,55-59,745
DC,601723,Asian,Female,55-59,477
FL,18801310,Asian,Female,55-59,15867
GA,9687653,Asian,Female,55-59,8476
HI,1360301,Asian,Female,55-59,22269
ID,1567582,Asian,Female,55-59,614
IL,12830632,Asian,Female,55-59,18099
IN,6483802,Asian,Female,55-59,2351
IA,3046355,Asian,Female,55-59,1166
KS,2853118,Asian,Female,55-59,1814
KY,4339367,Asian,Female,55-59,1196
LA,4533372,Asian,Female,55-59,2170
ME,1328361,Asian,Female,55-59,416
MD,5773552,Asian,Female,55-59,9950
MA,6547629,Asian,Female,55-59,8461
MI,9883640,Asian,Female,55-59,5713
MN,5303925,Asian,Female,55-59,4053
MS,2967297,Asian,Female,55-59,822
MO,5988927,Asian,Female,55-59,2657
MT,989415,Asian,Female,55-59,245
NE,1826341,Asian,Female,55-59,777
NV,2700551,Asian,Female,55-59,8088
NH,1316470,Asian,Female,55-59,697
NJ,8791894,Asian,Female,55-59,20725
NM,2059179,Asian,Female,55-59,1017
NY,19378102,Asian,Female,55-59,43602
NC,9535483,Asian,Female,55-59,5251
ND,672591,Asian,Female,55-59,133
OH,11536504,Asian,Female,55-59,4986
OK,3751351,Asian,Female,55-59,2016
OR,3831074,Asian,Female,55-59,4413
PA,12702379,Asian,Female,55-59,9292
RI,1052567,Asian,Female,55-59,709
SC,4625364,Asian,Female,55-59,1899
SD,814180,Asian,Female,55-59,168
TN,6346105,Asian,Female,55-59,2664
TX,25145561,Asian,Female,55-59,27777
UT,2763885,Asian,Female,55-59,1535
VT,625741,Asian,Female,55-59,213
VA,8001024,Asian,Female,55-59,13084
WA,6724540,Asian,Female,55-59,16271
WV,1852994,Asian,Female,55-59,392
WI,5686986,Asian,Female,55-59,2289
WY,563626,Asian,Female,55-59,164
PR,3725789,Asian,Female,55-59,207
AL,4779736,Asian,Female,60-61,585
AK,710231,Asian,Female,60-61,527
AZ,6392017,Asian,Female,60-61,2064
AR,2915918,Asian,Female,60-61,349
CA,37253956,Asian,Female,60-61,63510
CO,5029196,Asian,Female,60-61,1414
