state,state population,ethnicity,gender,age group,group population
MO,5988927,NavAm,Male,10-14,1015
MT,989415,NavAm,Male,10-14,2846
NE,1826341,NavAm,Male,10-14,887
NV,2700551,NavAm,Male,10-14,1215
NH,1316470,NavAm,Male,10-14,124
NJ,8791894,NavAm,Male,10-14,1129
NM,2059179,NavAm,Male,10-14,8029
NY,19378102,NavAm,Male,10-14,4312
NC,9535483,NavAm,Male,10-14,5073
ND,672591,NavAm,Male,10-14,1669
OH,11536504,NavAm,Male,10-14,859
OK,3751351,NavAm,Male,10-14,15460
OR,3831074,NavAm,Male,10-14,2228
PA,12702379,NavAm,Male,10-14,1056
RI,1052567,NavAm,Male,10-14,270
SC,4625364,NavAm,Male,10-14,698
SD,814180,NavAm,Male,10-14,3685
TN,6346105,NavAm,Male,10-14,657
TX,25145561,NavAm,Male,10-14,7348
UT,2763885,NavAm,Male,10-14,1548
VT,625741,NavAm,Male,10-14,71
VA,8001024,NavAm,Male,10-14,1007
WA,6724540,NavAm,Male,10-14,4479
WV,1852994,NavAm,Male,10-14,108
WI,5686986,NavAm,Male,10-14,2305
WY,563626,NavAm,Male,10-14,643
PR,3725789,NavAm,Male,10-14,756
AL,4779736,NavAm,Male,15-17,703
AK,710231,NavAm,Male,15-17,2952
AZ,6392017,NavAm,Male,15-17,8742
AR,2915918,NavAm,Male,15-17,527
CA,37253956,NavAm,Male,15-17,9276
CO,5029196,NavAm,Male,15-17,1442
CT,3574097,NavAm,Male,15-17,299
DE,897934,NavAm,Male,15-17,112
DC,601723,NavAm,Male,15-17,30
FL,18801310,NavAm,Male,15-17,1702
GA,9687653,NavAm,Male,15-17,763
HI,1360301,NavAm,Male,15-17,73
ID,1567582,NavAm,Male,15-17,596
IL,12830632,NavAm,Male,15-17,1104
IN,6483802,NavAm,Male,15-17,461
IA,3046355,NavAm,Male,15-17,332
KS,2853118,NavAm,Male,15-17,795
KY,4339367,NavAm,Male,15-17,223
LA,4533372,NavAm,Male,15-17,798
